Original_Index,Selected_Index,Correlation
2,1,0.177844
7,2,-0.185454
8,3,-0.158945
10,4,-0.135545
11,5,-0.186110
12,6,-0.216457
14,7,-0.219103
17,8,0.203568
18,9,0.234898
19,10,0.164361
21,11,-0.348817
22,12,-0.225261
23,13,-0.182071
24,14,-0.103606
27,15,0.183626
28,16,0.332404
29,17,0.378141
30,18,0.140327
34,19,-0.159712
35,20,-0.199209
36,21,-0.267053
37,22,-0.292534
38,23,-0.275493
39,24,-0.157875
46,25,0.241775
48,26,0.241777
52,27,0.241777
54,28,0.241777
69,29,0.427088
77,30,0.241775
78,31,0.208358
80,32,0.396386
81,33,0.485230
82,34,-0.426744
83,35,-0.446929
84,36,0.248034
85,37,0.323125
87,38,-0.196848
88,39,-0.312218
90,40,0.168412
91,41,0.157455
93,42,-0.226317
96,43,0.204852
98,44,-0.111368
101,45,0.136203
