Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	74.71	1.26	73.03	5.82
Linear	0.001000	0.010000	74.71	1.26	73.03	5.82
Linear	0.001000	0.100000	74.71	1.26	73.03	5.82
Linear	0.001000	1.000000	74.71	1.26	73.03	5.82
Linear	0.001000	10.000000	74.71	1.26	73.03	5.82
Linear	0.001000	100.000000	74.71	1.26	73.03	5.82
Linear	0.001000	1000.000000	74.71	1.26	73.03	5.82
Linear	0.010000	0.001000	65.93	10.48	64.24	14.39
Linear	0.010000	0.010000	65.93	10.48	64.24	14.39
Linear	0.010000	0.100000	65.93	10.48	64.24	14.39
Linear	0.010000	1.000000	65.93	10.48	64.24	14.39
Linear	0.010000	10.000000	65.93	10.48	64.24	14.39
Linear	0.010000	100.000000	65.93	10.48	64.24	14.39
Linear	0.010000	1000.000000	65.93	10.48	64.24	14.39
Linear	0.100000	0.001000	49.60	16.51	50.30	19.74
Linear	0.100000	0.010000	49.60	16.51	50.30	19.74
Linear	0.100000	0.100000	49.60	16.51	50.30	19.74
Linear	0.100000	1.000000	49.60	16.51	50.30	19.74
Linear	0.100000	10.000000	49.60	16.51	50.30	19.74
Linear	0.100000	100.000000	49.60	16.51	50.30	19.74
Linear	0.100000	1000.000000	49.60	16.51	50.30	19.74
Linear	1.000000	0.001000	54.75	17.28	55.45	19.26
Linear	1.000000	0.010000	54.75	17.28	55.45	19.26
Linear	1.000000	0.100000	54.75	17.28	55.45	19.26
Linear	1.000000	1.000000	54.75	17.28	55.45	19.26
Linear	1.000000	10.000000	54.75	17.28	55.45	19.26
Linear	1.000000	100.000000	54.75	17.28	55.45	19.26
Linear	1.000000	1000.000000	54.75	17.28	55.45	19.26
Linear	10.000000	0.001000	52.83	16.29	53.33	18.39
Linear	10.000000	0.010000	52.83	16.29	53.33	18.39
Linear	10.000000	0.100000	52.83	16.29	53.33	18.39
Linear	10.000000	1.000000	52.83	16.29	53.33	18.39
Linear	10.000000	10.000000	52.83	16.29	53.33	18.39
Linear	10.000000	100.000000	52.83	16.29	53.33	18.39
Linear	10.000000	1000.000000	52.83	16.29	53.33	18.39
Linear	100.000000	0.001000	54.07	16.72	54.55	18.63
Linear	100.000000	0.010000	54.07	16.72	54.55	18.63
Linear	100.000000	0.100000	54.07	16.72	54.55	18.63
Linear	100.000000	1.000000	54.07	16.72	54.55	18.63
Linear	100.000000	10.000000	54.07	16.72	54.55	18.63
Linear	100.000000	100.000000	54.07	16.72	54.55	18.63
Linear	100.000000	1000.000000	54.07	16.72	54.55	18.63
Linear	1000.000000	0.001000	54.07	16.72	54.55	18.63
Linear	1000.000000	0.010000	54.07	16.72	54.55	18.63
Linear	1000.000000	0.100000	54.07	16.72	54.55	18.63
Linear	1000.000000	1.000000	54.07	16.72	54.55	18.63
Linear	1000.000000	10.000000	54.07	16.72	54.55	18.63
Linear	1000.000000	100.000000	54.07	16.72	54.55	18.63
Linear	1000.000000	1000.000000	54.07	16.72	54.55	18.63
Polynomial	0.001000	0.001000	63.87	3.79	56.36	6.80
Polynomial	0.001000	0.010000	62.53	7.27	58.18	6.18
Polynomial	0.001000	0.100000	61.68	6.02	59.09	6.67
Polynomial	0.001000	1.000000	64.78	7.94	53.33	9.41
Polynomial	0.001000	10.000000	62.12	6.76	59.39	10.69
Polynomial	0.001000	100.000000	58.32	7.38	54.55	5.75
Polynomial	0.001000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	0.010000	0.001000	63.87	3.79	56.36	6.80
Polynomial	0.010000	0.010000	62.53	7.27	58.18	6.18
Polynomial	0.010000	0.100000	61.68	6.02	59.09	6.67
Polynomial	0.010000	1.000000	64.78	7.94	53.33	9.41
Polynomial	0.010000	10.000000	62.12	6.76	59.39	10.69
Polynomial	0.010000	100.000000	58.32	7.38	54.55	5.75
Polynomial	0.010000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	0.100000	0.001000	63.87	3.79	56.36	6.80
Polynomial	0.100000	0.010000	62.53	7.27	58.18	6.18
Polynomial	0.100000	0.100000	61.68	6.02	59.09	6.67
Polynomial	0.100000	1.000000	64.78	7.94	53.33	9.41
Polynomial	0.100000	10.000000	62.12	6.76	59.39	10.69
Polynomial	0.100000	100.000000	58.32	7.38	54.55	5.75
Polynomial	0.100000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	1.000000	0.001000	63.87	3.79	56.36	6.80
Polynomial	1.000000	0.010000	62.53	7.27	58.18	6.18
Polynomial	1.000000	0.100000	61.68	6.02	59.09	6.67
Polynomial	1.000000	1.000000	64.78	7.94	53.33	9.41
Polynomial	1.000000	10.000000	62.12	6.76	59.39	10.69
Polynomial	1.000000	100.000000	58.32	7.38	54.55	5.75
Polynomial	1.000000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	10.000000	0.001000	63.87	3.79	56.36	6.80
Polynomial	10.000000	0.010000	62.53	7.27	58.18	6.18
Polynomial	10.000000	0.100000	61.68	6.02	59.09	6.67
Polynomial	10.000000	1.000000	64.78	7.94	53.33	9.41
Polynomial	10.000000	10.000000	62.12	6.76	59.39	10.69
Polynomial	10.000000	100.000000	58.32	7.38	54.55	5.75
Polynomial	10.000000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	100.000000	0.001000	63.87	3.79	56.36	6.80
Polynomial	100.000000	0.010000	62.53	7.27	58.18	6.18
Polynomial	100.000000	0.100000	61.68	6.02	59.09	6.67
Polynomial	100.000000	1.000000	64.78	7.94	53.33	9.41
Polynomial	100.000000	10.000000	62.12	6.76	59.39	10.69
Polynomial	100.000000	100.000000	58.32	7.38	54.55	5.75
Polynomial	100.000000	1000.000000	64.44	7.57	60.61	13.28
Polynomial	1000.000000	0.001000	63.87	3.79	56.36	6.80
Polynomial	1000.000000	0.010000	62.53	7.27	58.18	6.18
Polynomial	1000.000000	0.100000	61.68	6.02	59.09	6.67
Polynomial	1000.000000	1.000000	64.78	7.94	53.33	9.41
Polynomial	1000.000000	10.000000	62.12	6.76	59.39	10.69
Polynomial	1000.000000	100.000000	58.32	7.38	54.55	5.75
Polynomial	1000.000000	1000.000000	64.44	7.57	60.61	13.28
Radial Basis Function	0.001000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	1.000000	0.001000	100.00	0.00	50.91	6.03
Radial Basis Function	1.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	0.001000	100.00	0.00	50.91	6.03
Radial Basis Function	10.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	0.001000	100.00	0.00	50.91	6.03
Radial Basis Function	100.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	0.001000	100.00	0.00	50.91	6.03
Radial Basis Function	1000.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	1000.000000	100.00	0.00	49.09	5.55
Sigmoid	0.001000	0.001000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.010000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.100000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	10.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	100.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1000.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	0.001000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	0.010000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	0.100000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	1.000000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	10.000000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	100.000000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	1000.000000	50.67	0.48	48.48	5.07
Sigmoid	0.100000	0.001000	39.66	1.90	38.79	6.03
Sigmoid	0.100000	0.010000	39.60	1.90	38.79	6.03
Sigmoid	0.100000	0.100000	39.60	1.90	38.79	6.03
Sigmoid	0.100000	1.000000	39.60	1.90	38.79	6.03
Sigmoid	0.100000	10.000000	39.60	1.90	38.79	6.03
Sigmoid	0.100000	100.000000	39.60	1.90	38.79	6.03
Sigmoid	0.100000	1000.000000	39.60	1.90	38.79	6.03
Sigmoid	1.000000	0.001000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	0.010000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	0.100000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	1.000000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	10.000000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	100.000000	33.70	1.54	33.33	4.49
Sigmoid	1.000000	1000.000000	33.70	1.54	33.33	4.49
Sigmoid	10.000000	0.001000	33.70	1.54	33.33	4.49
Sigmoid	10.000000	0.010000	33.70	1.54	33.33	4.49
Sigmoid	10.000000	0.100000	33.70	1.54	33.33	4.49
