Original_Index,Selected_Index,Correlation
2,1,0.240639
5,2,-0.104259
6,3,-0.160243
7,4,-0.144497
9,5,0.107658
14,6,0.168143
15,7,0.254096
16,8,0.277023
17,9,0.114597
21,10,-0.179063
22,11,-0.133079
29,12,-0.149786
34,13,0.238081
35,14,0.299528
36,15,0.251890
38,16,-0.126616
39,17,-0.121638
47,18,-0.251680
49,19,-0.251695
53,20,-0.251690
55,21,-0.251690
69,22,0.279277
78,23,-0.146460
80,24,0.377297
82,25,-0.309712
83,26,-0.302799
84,27,0.260146
87,28,-0.445500
89,29,0.104514
90,30,0.352871
93,31,-0.233360
96,32,0.172474
98,33,-0.100478
99,34,-0.105034
103,35,0.110532
