Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	73.28	9.11	71.57	10.98
Linear	0.001000	0.010000	73.28	9.11	71.57	10.98
Linear	0.001000	0.100000	73.28	9.11	71.57	10.98
Linear	0.001000	1.000000	73.28	9.11	71.57	10.98
Linear	0.001000	10.000000	73.28	9.11	71.57	10.98
Linear	0.001000	100.000000	73.28	9.11	71.57	10.98
Linear	0.001000	1000.000000	73.28	9.11	71.57	10.98
Linear	0.010000	0.001000	56.88	10.37	55.04	10.38
Linear	0.010000	0.010000	56.88	10.37	55.04	10.38
Linear	0.010000	0.100000	56.88	10.37	55.04	10.38
Linear	0.010000	1.000000	56.88	10.37	55.04	10.38
Linear	0.010000	10.000000	56.88	10.37	55.04	10.38
Linear	0.010000	100.000000	56.88	10.37	55.04	10.38
Linear	0.010000	1000.000000	56.88	10.37	55.04	10.38
Linear	0.100000	0.001000	54.86	10.75	55.12	12.34
Linear	0.100000	0.010000	54.86	10.75	55.12	12.34
Linear	0.100000	0.100000	54.86	10.75	55.12	12.34
Linear	0.100000	1.000000	54.86	10.75	55.12	12.34
Linear	0.100000	10.000000	54.86	10.75	55.12	12.34
Linear	0.100000	100.000000	54.86	10.75	55.12	12.34
Linear	0.100000	1000.000000	54.86	10.75	55.12	12.34
Linear	1.000000	0.001000	58.47	13.34	55.17	17.98
Linear	1.000000	0.010000	58.47	13.34	55.17	17.98
Linear	1.000000	0.100000	58.47	13.34	55.17	17.98
Linear	1.000000	1.000000	58.47	13.34	55.17	17.98
Linear	1.000000	10.000000	58.47	13.34	55.17	17.98
Linear	1.000000	100.000000	58.47	13.34	55.17	17.98
Linear	1.000000	1000.000000	58.47	13.34	55.17	17.98
Linear	10.000000	0.001000	52.96	10.09	53.24	12.70
Linear	10.000000	0.010000	52.96	10.09	53.24	12.70
Linear	10.000000	0.100000	52.96	10.09	53.24	12.70
Linear	10.000000	1.000000	52.96	10.09	53.24	12.70
Linear	10.000000	10.000000	52.96	10.09	53.24	12.70
Linear	10.000000	100.000000	52.96	10.09	53.24	12.70
Linear	10.000000	1000.000000	52.96	10.09	53.24	12.70
Linear	100.000000	0.001000	50.33	11.28	50.01	13.47
Linear	100.000000	0.010000	50.33	11.28	50.01	13.47
Linear	100.000000	0.100000	50.33	11.28	50.01	13.47
Linear	100.000000	1.000000	50.33	11.28	50.01	13.47
Linear	100.000000	10.000000	50.33	11.28	50.01	13.47
Linear	100.000000	100.000000	50.33	11.28	50.01	13.47
Linear	100.000000	1000.000000	50.33	11.28	50.01	13.47
Linear	1000.000000	0.001000	50.33	11.28	50.01	13.47
Linear	1000.000000	0.010000	50.33	11.28	50.01	13.47
Linear	1000.000000	0.100000	50.33	11.28	50.01	13.47
Linear	1000.000000	1.000000	50.33	11.28	50.01	13.47
Linear	1000.000000	10.000000	50.33	11.28	50.01	13.47
