Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	73.30	2.23	68.79	7.05
Linear	0.001000	0.010000	73.30	2.23	68.79	7.05
Linear	0.001000	0.100000	73.30	2.23	68.79	7.05
Linear	0.001000	1.000000	73.30	2.23	68.79	7.05
Linear	0.001000	10.000000	73.30	2.23	68.79	7.05
Linear	0.001000	100.000000	73.30	2.23	68.79	7.05
Linear	0.001000	1000.000000	73.30	2.23	68.79	7.05
Linear	0.010000	0.001000	59.60	14.27	57.88	17.43
Linear	0.010000	0.010000	59.60	14.27	57.88	17.43
Linear	0.010000	0.100000	59.60	14.27	57.88	17.43
Linear	0.010000	1.000000	59.60	14.27	57.88	17.43
Linear	0.010000	10.000000	59.60	14.27	57.88	17.43
Linear	0.010000	100.000000	59.60	14.27	57.88	17.43
Linear	0.010000	1000.000000	59.60	14.27	57.88	17.43
Linear	0.100000	0.001000	50.34	13.89	49.09	13.19
Linear	0.100000	0.010000	50.34	13.89	49.09	13.19
Linear	0.100000	0.100000	50.34	13.89	49.09	13.19
Linear	0.100000	1.000000	50.34	13.89	49.09	13.19
Linear	0.100000	10.000000	50.34	13.89	49.09	13.19
Linear	0.100000	100.000000	50.34	13.89	49.09	13.19
Linear	0.100000	1000.000000	50.34	13.89	49.09	13.19
Linear	1.000000	0.001000	57.58	11.83	56.06	9.98
Linear	1.000000	0.010000	57.58	11.83	56.06	9.98
Linear	1.000000	0.100000	57.58	11.83	56.06	9.98
Linear	1.000000	1.000000	57.58	11.83	56.06	9.98
Linear	1.000000	10.000000	57.58	11.83	56.06	9.98
Linear	1.000000	100.000000	57.58	11.83	56.06	9.98
Linear	1.000000	1000.000000	57.58	11.83	56.06	9.98
Linear	10.000000	0.001000	50.24	14.82	48.79	16.57
Linear	10.000000	0.010000	50.24	14.82	48.79	16.57
Linear	10.000000	0.100000	50.24	14.82	48.79	16.57
Linear	10.000000	1.000000	50.24	14.82	48.79	16.57
Linear	10.000000	10.000000	50.24	14.82	48.79	16.57
Linear	10.000000	100.000000	50.24	14.82	48.79	16.57
Linear	10.000000	1000.000000	50.24	14.82	48.79	16.57
Linear	100.000000	0.001000	41.52	11.54	39.09	11.77
Linear	100.000000	0.010000	41.52	11.54	39.09	11.77
Linear	100.000000	0.100000	41.52	11.54	39.09	11.77
Linear	100.000000	1.000000	41.52	11.54	39.09	11.77
Linear	100.000000	10.000000	41.52	11.54	39.09	11.77
Linear	100.000000	100.000000	41.52	11.54	39.09	11.77
Linear	100.000000	1000.000000	41.52	11.54	39.09	11.77
Linear	1000.000000	0.001000	53.23	15.58	50.00	16.16
Linear	1000.000000	0.010000	53.23	15.58	50.00	16.16
Linear	1000.000000	0.100000	53.23	15.58	50.00	16.16
Linear	1000.000000	1.000000	53.23	15.58	50.00	16.16
Linear	1000.000000	10.000000	53.23	15.58	50.00	16.16
Linear	1000.000000	100.000000	53.23	15.58	50.00	16.16
Linear	1000.000000	1000.000000	53.23	15.58	50.00	16.16
Polynomial	0.001000	0.001000	63.64	7.20	66.06	6.33
Polynomial	0.001000	0.010000	62.39	9.06	62.12	6.39
Polynomial	0.001000	0.100000	60.54	9.07	59.70	7.67
Polynomial	0.001000	1.000000	54.98	7.06	55.76	9.31
Polynomial	0.001000	10.000000	60.44	8.68	60.30	7.72
Polynomial	0.001000	100.000000	59.66	6.89	57.27	9.53
Polynomial	0.001000	1000.000000	69.19	4.90	66.67	8.99
Polynomial	0.010000	0.001000	63.64	7.20	66.06	6.33
Polynomial	0.010000	0.010000	62.39	9.06	62.12	6.39
Polynomial	0.010000	0.100000	60.54	9.07	59.70	7.67
Polynomial	0.010000	1.000000	54.98	7.06	55.76	9.31
Polynomial	0.010000	10.000000	60.44	8.68	60.30	7.72
Polynomial	0.010000	100.000000	59.66	6.89	57.27	9.53
Polynomial	0.010000	1000.000000	69.19	4.90	66.67	8.99
Polynomial	0.100000	0.001000	63.64	7.20	66.06	6.33
Polynomial	0.100000	0.010000	62.39	9.06	62.12	6.39
Polynomial	0.100000	0.100000	60.54	9.07	59.70	7.67
Polynomial	0.100000	1.000000	54.98	7.06	55.76	9.31
Polynomial	0.100000	10.000000	60.44	8.68	60.30	7.72
Polynomial	0.100000	100.000000	59.66	6.89	57.27	9.53
Polynomial	0.100000	1000.000000	69.19	4.90	66.67	8.99
Polynomial	1.000000	0.001000	63.64	7.20	66.06	6.33
Polynomial	1.000000	0.010000	62.39	9.06	62.12	6.39
Polynomial	1.000000	0.100000	60.54	9.07	59.70	7.67
Polynomial	1.000000	1.000000	54.98	7.06	55.76	9.31
Polynomial	1.000000	10.000000	60.44	8.68	60.30	7.72
Polynomial	1.000000	100.000000	59.66	6.89	57.27	9.53
Polynomial	1.000000	1000.000000	69.19	4.90	66.67	8.99
Polynomial	10.000000	0.001000	63.64	7.20	66.06	6.33
Polynomial	10.000000	0.010000	62.39	9.06	62.12	6.39
Polynomial	10.000000	0.100000	60.54	9.07	59.70	7.67
Polynomial	10.000000	1.000000	54.98	7.06	55.76	9.31
