Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	74.78	1.45	74.55	6.39
Linear	0.001000	0.010000	74.78	1.45	74.55	6.39
Linear	0.001000	0.100000	74.78	1.45	74.55	6.39
Linear	0.001000	1.000000	74.78	1.45	74.55	6.39
Linear	0.001000	10.000000	74.78	1.45	74.55	6.39
Linear	0.001000	100.000000	74.78	1.45	74.55	6.39
Linear	0.001000	1000.000000	74.78	1.45	74.55	6.39
Linear	0.010000	0.001000	70.27	12.28	68.79	14.47
Linear	0.010000	0.010000	70.27	12.28	68.79	14.47
Linear	0.010000	0.100000	70.27	12.28	68.79	14.47
Linear	0.010000	1.000000	70.27	12.28	68.79	14.47
Linear	0.010000	10.000000	70.27	12.28	68.79	14.47
Linear	0.010000	100.000000	70.27	12.28	68.79	14.47
Linear	0.010000	1000.000000	70.27	12.28	68.79	14.47
Linear	0.100000	0.001000	55.19	10.48	56.97	12.41
Linear	0.100000	0.010000	55.19	10.48	56.97	12.41
Linear	0.100000	0.100000	55.19	10.48	56.97	12.41
Linear	0.100000	1.000000	55.19	10.48	56.97	12.41
Linear	0.100000	10.000000	55.19	10.48	56.97	12.41
Linear	0.100000	100.000000	55.19	10.48	56.97	12.41
