Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	90.94	2.92	83.33	9.61
Linear	0.001000	0.010000	90.94	2.92	83.33	9.61
Linear	0.001000	0.100000	90.94	2.92	83.33	9.61
Linear	0.001000	1.000000	90.94	2.92	83.33	9.61
Linear	0.001000	10.000000	90.94	2.92	83.33	9.61
Linear	0.001000	100.000000	90.94	2.92	83.33	9.61
Linear	0.001000	1000.000000	90.94	2.92	83.33	9.61
Linear	0.010000	0.001000	74.58	13.68	67.88	12.29
Linear	0.010000	0.010000	74.58	13.68	67.88	12.29
Linear	0.010000	0.100000	74.58	13.68	67.88	12.29
Linear	0.010000	1.000000	74.58	13.68	67.88	12.29
Linear	0.010000	10.000000	74.58	13.68	67.88	12.29
Linear	0.010000	100.000000	74.58	13.68	67.88	12.29
Linear	0.010000	1000.000000	74.58	13.68	67.88	12.29
Linear	0.100000	0.001000	80.34	5.00	78.48	9.53
Linear	0.100000	0.010000	80.34	5.00	78.48	9.53
Linear	0.100000	0.100000	80.34	5.00	78.48	9.53
Linear	0.100000	1.000000	80.34	5.00	78.48	9.53
Linear	0.100000	10.000000	80.34	5.00	78.48	9.53
Linear	0.100000	100.000000	80.34	5.00	78.48	9.53
Linear	0.100000	1000.000000	80.34	5.00	78.48	9.53
Linear	1.000000	0.001000	70.57	5.08	71.82	6.78
Linear	1.000000	0.010000	70.57	5.08	71.82	6.78
Linear	1.000000	0.100000	70.57	5.08	71.82	6.78
Linear	1.000000	1.000000	70.57	5.08	71.82	6.78
Linear	1.000000	10.000000	70.57	5.08	71.82	6.78
Linear	1.000000	100.000000	70.57	5.08	71.82	6.78
Linear	1.000000	1000.000000	70.57	5.08	71.82	6.78
Linear	10.000000	0.001000	69.53	9.43	70.61	7.67
Linear	10.000000	0.010000	69.53	9.43	70.61	7.67
Linear	10.000000	0.100000	69.53	9.43	70.61	7.67
Linear	10.000000	1.000000	69.53	9.43	70.61	7.67
Linear	10.000000	10.000000	69.53	9.43	70.61	7.67
Linear	10.000000	100.000000	69.53	9.43	70.61	7.67
Linear	10.000000	1000.000000	69.53	9.43	70.61	7.67
Linear	100.000000	0.001000	68.15	11.35	70.00	13.72
Linear	100.000000	0.010000	68.15	11.35	70.00	13.72
Linear	100.000000	0.100000	68.15	11.35	70.00	13.72
Linear	100.000000	1.000000	68.15	11.35	70.00	13.72
Linear	100.000000	10.000000	68.15	11.35	70.00	13.72
Linear	100.000000	100.000000	68.15	11.35	70.00	13.72
Linear	100.000000	1000.000000	68.15	11.35	70.00	13.72
Linear	1000.000000	0.001000	68.99	11.67	69.39	13.58
Linear	1000.000000	0.010000	68.99	11.67	69.39	13.58
Linear	1000.000000	0.100000	68.99	11.67	69.39	13.58
Linear	1000.000000	1.000000	68.99	11.67	69.39	13.58
Linear	1000.000000	10.000000	68.99	11.67	69.39	13.58
Linear	1000.000000	100.000000	68.99	11.67	69.39	13.58
Linear	1000.000000	1000.000000	68.99	11.67	69.39	13.58
Polynomial	0.001000	0.001000	76.70	7.76	64.85	10.69
Polynomial	0.001000	0.010000	77.31	8.07	69.09	10.65
Polynomial	0.001000	0.100000	74.14	6.80	66.97	8.93
Polynomial	0.001000	1.000000	74.75	6.00	64.85	8.15
Polynomial	0.001000	10.000000	77.74	7.21	69.09	9.27
Polynomial	0.001000	100.000000	75.05	8.34	67.58	10.93
Polynomial	0.001000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	0.010000	0.001000	76.70	7.76	64.85	10.69
Polynomial	0.010000	0.010000	77.31	8.07	69.09	10.65
Polynomial	0.010000	0.100000	74.14	6.80	66.97	8.93
Polynomial	0.010000	1.000000	74.75	6.00	64.85	8.15
Polynomial	0.010000	10.000000	77.74	7.21	69.09	9.27
Polynomial	0.010000	100.000000	75.05	8.34	67.58	10.93
Polynomial	0.010000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	0.100000	0.001000	76.70	7.76	64.85	10.69
Polynomial	0.100000	0.010000	77.31	8.07	69.09	10.65
Polynomial	0.100000	0.100000	74.14	6.80	66.97	8.93
Polynomial	0.100000	1.000000	74.75	6.00	64.85	8.15
Polynomial	0.100000	10.000000	77.74	7.21	69.09	9.27
Polynomial	0.100000	100.000000	75.05	8.34	67.58	10.93
Polynomial	0.100000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	1.000000	0.001000	76.70	7.76	64.85	10.69
Polynomial	1.000000	0.010000	77.31	8.07	69.09	10.65
Polynomial	1.000000	0.100000	74.14	6.80	66.97	8.93
Polynomial	1.000000	1.000000	74.75	6.00	64.85	8.15
Polynomial	1.000000	10.000000	77.74	7.21	69.09	9.27
Polynomial	1.000000	100.000000	75.05	8.34	67.58	10.93
Polynomial	1.000000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	10.000000	0.001000	76.70	7.76	64.85	10.69
Polynomial	10.000000	0.010000	77.31	8.07	69.09	10.65
Polynomial	10.000000	0.100000	74.14	6.80	66.97	8.93
Polynomial	10.000000	1.000000	74.75	6.00	64.85	8.15
Polynomial	10.000000	10.000000	77.74	7.21	69.09	9.27
Polynomial	10.000000	100.000000	75.05	8.34	67.58	10.93
Polynomial	10.000000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	100.000000	0.001000	76.70	7.76	64.85	10.69
Polynomial	100.000000	0.010000	77.31	8.07	69.09	10.65
Polynomial	100.000000	0.100000	74.14	6.80	66.97	8.93
Polynomial	100.000000	1.000000	74.75	6.00	64.85	8.15
Polynomial	100.000000	10.000000	77.74	7.21	69.09	9.27
Polynomial	100.000000	100.000000	75.05	8.34	67.58	10.93
Polynomial	100.000000	1000.000000	72.79	4.01	68.18	7.58
Polynomial	1000.000000	0.001000	76.70	7.76	64.85	10.69
Polynomial	1000.000000	0.010000	77.31	8.07	69.09	10.65
Polynomial	1000.000000	0.100000	74.14	6.80	66.97	8.93
Polynomial	1000.000000	1.000000	74.75	6.00	64.85	8.15
Polynomial	1000.000000	10.000000	77.74	7.21	69.09	9.27
Polynomial	1000.000000	100.000000	75.05	8.34	67.58	10.93
Polynomial	1000.000000	1000.000000	72.79	4.01	68.18	7.58
Radial Basis Function	0.001000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	1.000000	0.001000	100.00	0.00	49.70	5.28
Radial Basis Function	1.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	0.001000	100.00	0.00	50.00	5.63
Radial Basis Function	10.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	10.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	0.001000	100.00	0.00	50.00	5.63
Radial Basis Function	100.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	100.000000	1000.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	0.001000	100.00	0.00	50.00	5.63
Radial Basis Function	1000.000000	0.010000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	0.100000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	1.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	10.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	100.000000	100.00	0.00	49.09	5.55
Radial Basis Function	1000.000000	1000.000000	100.00	0.00	49.09	5.55
Sigmoid	0.001000	0.001000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.010000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	0.100000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	10.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	100.000000	50.71	0.46	48.48	5.07
Sigmoid	0.001000	1000.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	0.001000	50.67	0.48	48.48	5.07
Sigmoid	0.010000	0.010000	50.64	0.53	48.48	5.07
Sigmoid	0.010000	0.100000	50.64	0.53	48.48	5.07
Sigmoid	0.010000	1.000000	50.64	0.53	48.48	5.07
Sigmoid	0.010000	10.000000	50.64	0.53	48.48	5.07
Sigmoid	0.010000	100.000000	50.64	0.53	48.48	5.07
Sigmoid	0.010000	1000.000000	50.64	0.53	48.48	5.07
Sigmoid	0.100000	0.001000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	0.010000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	0.100000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	1.000000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	10.000000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	100.000000	30.34	14.05	25.76	13.23
Sigmoid	0.100000	1000.000000	30.34	14.05	25.76	13.23
Sigmoid	1.000000	0.001000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	0.010000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	0.100000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	1.000000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	10.000000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	100.000000	15.89	0.75	16.06	5.26
Sigmoid	1.000000	1000.000000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	0.001000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	0.010000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	0.100000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	1.000000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	10.000000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	100.000000	15.89	0.75	16.06	5.26
Sigmoid	10.000000	1000.000000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	0.001000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	0.010000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	0.100000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	1.000000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	10.000000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	100.000000	15.89	0.75	16.06	5.26
Sigmoid	100.000000	1000.000000	15.89	0.75	16.06	5.26
Sigmoid	1000.000000	0.001000	15.89	0.75	16.06	5.26
Sigmoid	1000.000000	0.010000	15.89	0.75	16.06	5.26
Sigmoid	1000.000000	0.100000	15.89	0.75	16.06	5.26
Sigmoid	1000.000000	1.000000	15.89	0.75	16.06	5.26
