name, contrast, correlation, energy, homogeneity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:3.9127752577319588, 2:0.9697576495376388, 3:0.9875753721776106, 4:0.9903234587189786, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:1.616512341776953, 2:0.990864026531746, 3:0.9127672948739948, 4:0.9639001614497738, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:5.871089029139251, 2:0.9829820775983881, 3:0.7809283270589966, 4:0.9035755492869328, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:3.9778527308192455, 2:0.9836584139510239, 3:0.9723677958098621, 4:0.9839677647373927, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:11.171357619635117, 2:0.9789774751961224, 3:0.9346291110225954, 4:0.9630512858475416, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:3.8463525653668706, 2:0.9648334633772266, 3:0.9909235662103597, 4:0.9937933207224153, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:3.0612490038230096, 2:0.9409439903263364, 3:0.9967275606674676, 4:0.9977800023429019, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:24.93076846353328, 2:0.9782629830991671, 3:0.8997070383441925, 4:0.9343980244013311, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:7.764880815864714, 2:0.9658622270092668, 3:0.9769625532694669, 4:0.9840512286108234, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:4.899631519336955, 2:0.9709399118044013, 3:0.9897494332441357, 4:0.993811552966402, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_0_region_126_labels_0_G.png, 1:13.094718738202106, 2:0.9714924497841317, 3:0.9584117713185042, 4:0.9751001485005171, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (109)_color_threshold_idx_1_chunck_6_region_7_labels_1_G.png, 1:6.255088981446423, 2:0.9459679419187229, 3:0.9918327495680527, 4:0.9943705671267764, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_12_region_172_labels_2_G.png, 1:24.416465545938753, 2:0.9836930605275352, 3:0.8204293213018841, 4:0.8844118859882983, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_4_region_172_labels_0_G.png, 1:9.631842728214234, 2:0.9596581129899306, 3:0.9783972690808826, 4:0.9851863809303465, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (110)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:2.396016566615478, 2:0.9691068827210676, 3:0.9858151330136861, 4:0.9915369713030773, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (111)_color_threshold_idx_2_chunck_-1_region_1_labels_0_G.png, 1:2.8228629170966633, 2:0.9876973342138269, 3:0.9817703509954238, 4:0.9901085397354658, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (112)_color_threshold_idx_2_chunck_2_region_10_labels_0_G.png, 1:11.239711108186365, 2:0.9850803230170936, 3:0.903123793221409, 4:0.942989354245815, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (113)_color_threshold_idx_1_chunck_11_region_8_labels_1_G.png, 1:27.932124172026494, 2:0.9801610084867363, 3:0.8465432515909328, 4:0.9203867606029528, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_1_chunck_4_region_1_labels_1_G.png, 1:4.112971116315379, 2:0.9803916562772164, 3:0.9757775069346479, 4:0.9843906472569321, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:3.3392068696330988, 2:0.9643634587352122, 3:0.9895832351023978, 4:0.9934482723578967, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:1.2436517489149068, 2:0.8908866538272447, 3:0.9918883351857427, 4:0.9941092365003278, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:6.193000693000693, 2:0.957707383890445, 3:0.9891054530070267, 4:0.9924638797416956, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_10_region_40_labels_1_G.png, 1:1.7106247948353213, 2:0.9918317072424279, 3:0.9817779424404413, 4:0.9863542328048487, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (116)_color_threshold_idx_1_chunck_10_region_156_labels_2_G.png, 1:22.14912567591139, 2:0.9891632633000992, 3:0.8260037109908228, 4:0.9038612028749851, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (117)_color_threshold_idx_1_chunck_4_region_98_labels_0_G.png, 1:13.61713026102953, 2:0.9861139920287406, 3:0.9269122261475231, 4:0.9601905179529359, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_6_region_1_labels_1_G.png, 1:5.1949058229144836, 2:0.9774003987884269, 3:0.9753104183628769, 4:0.9833238710856135, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_7_region_1_labels_1_G.png, 1:1.9013961646217008, 2:0.9827518556070908, 3:0.9877117876720205, 4:0.9926173204080642, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (119)_color_threshold_idx_2_chunck_7_region_28_labels_3_G.png, 1:37.9095695816809, 2:0.9820574587310501, 3:0.4687812794856021, 4:0.7002315340846228, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (12)_color_threshold_idx_2_chunck_6_region_99_labels_1_G.png, 1:5.741268238479277, 2:0.977572045632938, 3:0.9653473618787444, 4:0.9791275220188104, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (120)_color_threshold_idx_1_chunck_6_region_116_labels_1_G.png, 1:12.867535982120017, 2:0.9922914312289096, 3:0.8267368685425295, 4:0.8911111067104678, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (121)_color_threshold_idx_0_chunck_9_region_12_labels_3_G.png, 1:1.4286542491724936, 2:0.9823090156939157, 3:0.9554300250847356, 4:0.9779529889542188, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_12_region_180_labels_1_G.png, 1:2.181274170567881, 2:0.9849385913012386, 3:0.986159366030357, 4:0.991033786692504, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:3.088278264016102, 2:0.9632036420662836, 3:0.9944863346988111, 4:0.9964859500358267, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_2_chunck_14_region_-1_labels_-1_G.png, 1:3.460655404030124, 2:0.9490668610996472, 3:0.9958749376765168, 4:0.9973729175111151, 
