dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:111666, 2:17430, 3:13959, 4:17421, 5:16321, 6:22198, 7:17829, 8:16730, 9:4564, 10:3719, 11:757, 12:354, 13:37, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:3026, 2:63666, 3:59940, 4:91816, 5:67444, 6:60652, 7:24718, 8:18750, 9:2804, 10:2319, 11:671, 12:233, 13:21, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:936, 2:44819, 3:79263, 4:92688, 5:45363, 6:49837, 7:30205, 8:30299, 9:5598, 10:6088, 11:1910, 12:623, 13:187, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:7512, 2:64199, 3:32044, 4:27445, 5:26707, 6:34186, 7:45271, 8:103352, 9:34732, 10:41315, 11:16566, 12:9080, 13:1111, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:3624, 2:53135, 3:30897, 4:36331, 5:33407, 6:51699, 7:54407, 8:86335, 9:36074, 10:42589, 11:11548, 12:3050, 13:32, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:376, 2:53677, 3:33115, 4:43968, 5:35373, 6:35019, 7:21711, 8:23001, 9:6430, 10:5075, 11:976, 12:309, 13:20, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:1998, 2:68882, 3:24821, 4:23190, 5:24148, 6:28497, 7:33094, 8:39187, 9:8476, 10:5858, 11:1228, 12:664, 13:163, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:72, 2:14885, 3:29472, 4:36321, 5:23427, 6:32961, 7:45816, 8:53814, 9:12169, 10:8891, 11:2122, 12:1060, 13:134, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:394, 2:54194, 3:33924, 4:44433, 5:35757, 6:35702, 7:21985, 8:23251, 9:6372, 10:4829, 11:928, 12:291, 13:20, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:3327, 2:27406, 3:24957, 4:33629, 5:31496, 6:45162, 7:59114, 8:107905, 9:35122, 10:49059, 11:20069, 12:12125, 13:4159, 
