dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:0, 2:5, 3:51, 4:1107, 5:815, 6:748, 7:156, 8:24, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:153, 2:22510, 3:5812, 4:4494, 5:1158, 6:349, 7:32, 8:5, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:875, 2:32467, 3:46907, 4:4155, 5:31, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:0, 2:0, 3:312, 4:4795, 5:4702, 6:2221, 7:48, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:0, 2:0, 3:1515, 4:13424, 5:7812, 6:5642, 7:120, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:0, 2:0, 3:0, 4:384, 5:955, 6:898, 7:47, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:24, 5:92, 6:682, 7:13, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:0, 2:397, 3:1770, 4:4762, 5:5992, 6:11227, 7:1565, 8:174, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:0, 2:0, 3:42, 4:2107, 5:1976, 6:1670, 7:65, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:546, 6:3609, 7:330, 8:51, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_0_region_126_labels_0_G.png, 1:0, 2:0, 3:165, 4:4828, 5:5786, 6:7583, 7:161, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (109)_color_threshold_idx_1_chunck_6_region_7_labels_1_G.png, 1:0, 2:0, 3:0, 4:8, 5:728, 6:1354, 7:13, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_12_region_172_labels_2_G.png, 1:8, 2:3731, 3:9139, 4:21582, 5:19785, 6:18821, 7:3188, 8:837, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_4_region_172_labels_0_G.png, 1:0, 2:21, 3:112, 4:2523, 5:2773, 6:3465, 7:156, 8:16, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (110)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:0, 2:0, 3:94, 4:2929, 5:433, 6:40, 7:6, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (111)_color_threshold_idx_2_chunck_-1_region_1_labels_0_G.png, 1:0, 2:0, 3:54, 4:1899, 5:3159, 6:5547, 7:290, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (112)_color_threshold_idx_2_chunck_2_region_10_labels_0_G.png, 1:84, 2:4064, 3:9034, 4:17224, 5:15033, 6:11769, 7:1117, 8:198, 9:8, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (113)_color_threshold_idx_1_chunck_11_region_8_labels_1_G.png, 1:0, 2:3, 3:3655, 4:39576, 5:30916, 6:24306, 7:2596, 8:111, 9:0, 10:0, 11:86, 12:668, 13:96, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_1_chunck_4_region_1_labels_1_G.png, 1:0, 2:52, 3:372, 4:8230, 5:3629, 6:2072, 7:544, 8:205, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:0, 2:344, 3:815, 4:1966, 5:1662, 6:1796, 7:20, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:306, 2:941, 3:874, 4:33, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:162, 5:1060, 6:1661, 7:28, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_10_region_40_labels_1_G.png, 1:0, 2:0, 3:67, 4:1375, 5:1661, 6:1421, 7:322, 8:70, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (116)_color_threshold_idx_1_chunck_10_region_156_labels_2_G.png, 1:0, 2:0, 3:1051, 4:15585, 5:26434, 6:25786, 7:5989, 8:4353, 9:109, 10:14, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (117)_color_threshold_idx_1_chunck_4_region_98_labels_0_G.png, 1:0, 2:0, 3:139, 4:2698, 5:10611, 6:15885, 7:2272, 8:347, 9:38, 10:1, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_6_region_1_labels_1_G.png, 1:0, 2:216, 3:785, 4:6996, 5:3593, 6:3106, 7:492, 8:315, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_7_region_1_labels_1_G.png, 1:0, 2:0, 3:200, 4:3944, 5:1922, 6:1532, 7:185, 8:13, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (119)_color_threshold_idx_2_chunck_7_region_28_labels_3_G.png, 1:43725, 2:24434, 3:12016, 4:21586, 5:18399, 6:20054, 7:3649, 8:842, 9:32, 10:6, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (12)_color_threshold_idx_2_chunck_6_region_99_labels_1_G.png, 1:8, 2:1553, 3:2722, 4:4072, 5:4507, 6:2612, 7:46, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (120)_color_threshold_idx_1_chunck_6_region_116_labels_1_G.png, 1:0, 2:276, 3:4425, 4:26882, 5:20696, 6:16016, 7:5884, 8:2583, 9:37, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (121)_color_threshold_idx_0_chunck_9_region_12_labels_3_G.png, 1:3, 2:4564, 3:6614, 4:154, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_12_region_180_labels_1_G.png, 1:0, 2:32, 3:135, 4:1965, 5:1920, 6:1687, 7:173, 8:81, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:85, 5:528, 6:1665, 7:94, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_2_chunck_14_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:90, 6:1616, 7:44, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (123)_color_threshold_idx_0_chunck_0_region_-1_labels_-1_G.png, 1:376, 2:822, 3:443, 4:0, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (124)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:1957, 2:1678, 3:1600, 4:7829, 5:9838, 6:13339, 7:1866, 8:381, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (125)_color_threshold_idx_1_chunck_14_region_-1_labels_-1_G.png, 1:0, 2:0, 3:1, 4:456, 5:920, 6:1124, 7:89, 8:12, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_1_chunck_17_region_-1_labels_-1_G.png, 1:0, 2:0, 3:88, 4:2918, 5:561, 6:508, 7:116, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_2_chunck_9_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:49, 5:408, 6:1278, 7:77, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (127)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:0, 2:2677, 3:5639, 4:225, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (128)_color_threshold_idx_2_chunck_1_region_53_labels_0_G.png, 1:4763, 2:3415, 3:2563, 4:2927, 5:2164, 6:2232, 7:50, 8:2, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (129)_color_threshold_idx_1_chunck_15_region_3_labels_2_G.png, 1:0, 2:30, 3:841, 4:8011, 5:11916, 6:15276, 7:1983, 8:1344, 9:191, 10:355, 11:2, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (13)_color_threshold_idx_1_chunck_5_region_140_labels_0_G.png, 1:5, 2:297, 3:2947, 4:22060, 5:17677, 6:13554, 7:2018, 8:491, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (130)_color_threshold_idx_1_chunck_19_region_1_labels_3_G.png, 1:0, 2:3, 3:270, 4:4844, 5:4731, 6:5466, 7:522, 8:12, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (131)_color_threshold_idx_1_chunck_1_region_1_labels_1_G.png, 1:0, 2:0, 3:14, 4:1446, 5:2561, 6:2679, 7:213, 8:10, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_0_chunck_9_region_-1_labels_-1_G.png, 1:0, 2:321, 3:3386, 4:345, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_2_chunck_9_region_53_labels_1_G.png, 1:84, 2:4409, 3:6778, 4:13331, 5:10849, 6:13500, 7:2321, 8:1670, 9:201, 10:127, 11:29, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:140, 6:675, 7:68, 8:5, 9:0, 10:0, 11:0, 12:0, 13:0, 
