dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1551, 2:1766, 3:2094, 4:1179, 5:420, 6:401, 7:451, 8:165, 9:26, 10:2, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:312, 2:9273, 3:4534, 4:5255, 5:2652, 6:862, 7:50, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:3, 2:9031, 3:22496, 4:54613, 5:18202, 6:10991, 7:3295, 8:2443, 9:135, 10:32, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:0, 2:1354, 3:5678, 4:2070, 5:1087, 6:976, 7:2219, 8:2131, 9:816, 10:673, 11:294, 12:357, 13:67, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:412, 2:19447, 3:16361, 4:11055, 5:10242, 6:10812, 7:12640, 8:14142, 9:1239, 10:475, 11:10, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:0, 2:0, 3:322, 4:955, 5:1074, 6:1351, 7:1386, 8:1121, 9:295, 10:294, 11:99, 12:31, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:18, 7:649, 8:576, 9:34, 10:27, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:0, 2:377, 3:1057, 4:2597, 5:3110, 6:4734, 7:10687, 8:7471, 9:956, 10:558, 11:29, 12:18, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:0, 2:763, 3:5045, 4:6297, 5:5521, 6:4242, 7:2379, 8:1579, 9:169, 10:111, 11:6, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:234, 7:4087, 8:8730, 9:3015, 10:2228, 11:874, 12:1162, 13:430, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_0_region_126_labels_0_G.png, 1:0, 2:312, 3:2800, 4:96, 5:400, 6:3296, 7:12075, 8:12968, 9:3020, 10:3835, 11:1511, 12:424, 13:259, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (109)_color_threshold_idx_1_chunck_6_region_7_labels_1_G.png, 1:0, 2:0, 3:1, 4:80, 5:364, 6:896, 7:1479, 8:1122, 9:82, 10:21, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_12_region_172_labels_2_G.png, 1:29694, 2:46928, 3:10845, 4:7276, 5:5697, 6:16958, 7:32317, 8:42274, 9:11641, 10:8784, 11:553, 12:26, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_4_region_172_labels_0_G.png, 1:4, 2:1575, 3:3193, 4:3020, 5:5005, 6:5622, 7:7173, 8:8263, 9:1253, 10:298, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (110)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:13, 2:7941, 3:9605, 4:2119, 5:415, 6:55, 7:32, 8:30, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (111)_color_threshold_idx_2_chunck_-1_region_1_labels_0_G.png, 1:77, 2:10177, 3:18146, 4:15539, 5:6733, 6:6207, 7:4836, 8:5383, 9:1423, 10:1586, 11:371, 12:159, 13:89, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (112)_color_threshold_idx_2_chunck_2_region_10_labels_0_G.png, 1:39, 2:2340, 3:7311, 4:12838, 5:13288, 6:27746, 7:23210, 8:33829, 9:8072, 10:6987, 11:1085, 12:228, 13:7, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (113)_color_threshold_idx_1_chunck_11_region_8_labels_1_G.png, 1:68, 2:10395, 3:17252, 4:23969, 5:20568, 6:13724, 7:3530, 8:625, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_1_chunck_4_region_1_labels_1_G.png, 1:351, 2:10522, 3:21419, 4:20699, 5:15696, 6:15553, 7:8930, 8:6612, 9:1071, 10:857, 11:113, 12:9, 13:0, 
