name, area, area_bbox, area_convex, area_filled, axis_major_length, area_minor_length, bbox1, bbox2, bbox3, bbox4, bbox5, bbox6, centroid1, centroid2, centroid3, centroid_local1, centroid_local2, centroid_local3, mean(coords_scaled), std(coords_scaled), mean(coords), std(coords), equivalent_diameter_area, euler_number, extent, mean(image), std(image), mean(image_convex), std(image_convex), mean(image_filled), std(image_filled), mean(inertia_tensor), std(inertia_tensor), intertia_tensor_eigvals1, intertia_tensor_eigvals2, intertia_tensor_eigvals3, label, mean(moments), std(moments), mean(moments_central), std(moments_central), mean(moments_normalized), std(moments_normalized), num_pixels, slice1, slice2, slice3, slice4, slice5, slice6, slice7, slice8, slice9, solidity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:170.5, 8:132.0009469663002, 9:170.0, 10:132.0, 11:0.0, 12:0.0, 13:170.0, 14:132.0, 15:170.0, 16:132.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2333, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:97.42857142857143, 39:130.67501361650386, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:629.5, 8:56.01115960235067, 9:629.0, 10:56.0, 11:0.5, 12:0.5, 13:629.0, 14:56.0029761113937, 15:629.0, 16:56.0029761113937, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:15328, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:359.7142857142857, 39:314.38589312486397, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:549.5, 8:22.005681084665387, 9:549.0, 10:22.0, 11:0.0, 12:0.0, 13:549.0, 14:22.0, 15:549.0, 16:22.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:41405, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:314.0, 39:272.44029490094573, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:302.0, 8:166.5007507490582, 9:301.5, 10:166.5, 11:0.0, 12:0.0, 13:301.5, 14:166.5, 15:301.5, 16:166.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:7312, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:172.57142857142858, 39:195.38961600048333, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:641.0, 8:126.50098813843313, 9:640.5, 10:126.5, 11:0.0, 12:0.0, 13:640.5, 14:126.5, 15:640.5, 16:126.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:17377, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:366.2857142857143, 39:331.31284925525097, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:281.0, 8:110.50113121592919, 9:280.5, 10:110.5, 11:0.0, 12:0.0, 13:280.5, 14:110.5, 15:280.5, 16:110.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1645, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:160.57142857142858, 39:162.2184216620622, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:137.5, 8:24.005207768315607, 9:137.0, 10:24.0, 11:0.0, 12:0.0, 13:137.0, 14:24.0, 15:137.0, 16:24.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:561, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:78.57142857142857, 39:70.4229206658034, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:212.0, 8:60.502066080424065, 9:211.5, 10:60.5, 11:0.0, 12:0.0, 13:211.5, 14:60.5, 15:211.5, 16:60.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:17986, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:121.14285714285714, 39:114.44827724026825, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:332.0, 8:60.502066080424065, 9:331.5, 10:60.5, 11:0.0, 12:0.0, 13:331.5, 14:60.5, 15:331.5, 16:60.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:4320, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:189.71428571428572, 39:170.5442668012487, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:354.5, 8:111.00112612041376, 9:354.0, 10:111.0, 11:0.0, 12:0.0, 13:354.0, 14:111.0, 15:354.0, 16:111.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2902, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:202.57142857142858, 39:194.4661976817985, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_0_region_126_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:658.5, 8:70.00178569150933, 9:658.0, 10:70.0, 11:0.0, 12:0.0, 13:658.0, 14:70.0, 15:658.0, 16:70.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:11353, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:376.2857142857143, 39:330.14140445993064, 40:1.0, 
