name
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:9.23098669932993, 2:3.442839728963878, 3:-15.803449229252841, 4:15.062464557882405, 5:2.5036395698889997, 6:-10.543446911282782, 7:-0.42937058612569323, 8:-2.4978879206703946, 9:10.977584589368002, 10:-22.87249205780305, 11:-6.676626676076391, 12:29.242568132827362, 13:-31.082301011907273, 14:-5.234413904223503, 15:24.523082723035284, 16:-10.330442723847936, 17:1.6116206627246425, 18:-7.157243332034294, 19:26.252918417955502, 20:8.083371223159556, 21:-37.55321832937733, 22:41.83932151903711, 23:7.951078675103853, 24:-34.79635856743447, 25:20.682270086544342, 26:0.6130965907317011, 27:-2.14473367911894, 28:-18.281351308060415, 29:-7.959358245533833, 30:34.182874479688245, 31:-46.15703438760986, 32:-10.188227381344824, 33:46.34365258573988, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (100)_color_threshold_idx_2_chunck_3_region_1_labels_0_G.png, 1:4889.8764715553925, 2:5923.003336175231, 3:6068.1286557039075, 4:8239.068621687718, 5:4314.6064723416075, 6:4703.276814833962, 7:1900.6371828785723, 8:-1360.5941773990194, 9:-895.2647457458661, 10:-4016.7402383308, 11:-3071.015373439122, 12:-2808.539772056988, 13:-2499.14388482598, 14:-316.0801278314659, 15:-203.01558864519941, 16:1444.3373583243247, 17:1347.6160241059433, 18:1494.1963875150866, 19:1382.3558968558818, 20:140.67853462874024, 21:172.75577738351103, 22:-855.2385699233452, 23:-731.6703366161464, 24:-1002.3806574066045, 25:-768.0554806446643, 26:187.019207804366, 27:-107.30624785424723, 28:896.8612664378408, 29:818.4979212337736, 30:875.51023914811, 31:876.2823462794198, 32:-5.282221680936642, 33:246.29297486737443, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (101)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:19738.077732370675, 2:19490.230762968273, 3:-13917.300712285534, 4:5062.073877011987, 5:-7963.807386810483, 6:-1562.78624877357, 7:-6721.758791454126, 8:-5192.243140465465, 9:3027.947498674655, 10:-8859.076557748096, 11:-5877.3810019900975, 12:388.22342698546174, 13:4567.927972329676, 14:11500.013261481603, 15:-318.6355898522717, 16:5490.732634188488, 17:-5849.453720484979, 18:302.65769660904596, 19:-6451.7370767268785, 20:3955.595547360252, 21:-2094.736227709703, 22:9419.360727634778, 23:-641.1506894457625, 24:1590.3943321068095, 25:-12875.11277836883, 26:-8560.146602182775, 27:1231.409277298356, 28:4808.237770220261, 29:10538.849392823313, 30:-1954.3437699385233, 31:3794.961607130107, 32:-4883.417733608364, 33:776.2332251680875, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (102)_color_threshold_idx_1_chunck_16_region_116_labels_3_G.png, 1:23.55493157760051, 2:18.189136353359466, 3:-32.45768704364482, 4:18.68388086217084, 5:-4.201572213437223, 6:3.7999818971106913, 7:-36.430079780578204, 8:-25.355485123894212, 9:40.41394373390622, 10:-32.34493647542847, 11:-1.5686060643343789, 12:2.5068289896996494, 13:34.51669913988854, 14:26.84933700444044, 15:-47.088500278645874, 16:51.145349359523365, 17:12.110038287283256, 18:-27.365775867397574, 19:-0.023860833909678497, 20:-12.718699005802634, 21:14.114871623979942, 22:-19.691606540169975, 23:-3.766102543216294, 24:6.243709198817495, 25:8.657552015989898, 26:9.158267427072726, 27:-9.702218244173999, 28:0.9732957683473705, 29:-8.543997547260735, 30:17.570677528865193, 31:-36.50547721083995, 32:-18.25980728332654, 33:29.29880977055031, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (103)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:192.89579102737716, 2:154.72334379564745, 3:237.3486737336555, 4:129.1501793613437, 5:-56.34303698342592, 6:57.193560100309, 7:-85.58535216759267, 8:10.57065106129604, 9:-110.29838748880411, 10:-14.575075744435779, 11:24.19990976311136, 12:-30.236897451408574, 13:-5.359269031951743, 14:-27.51284329856825, 15:148.46926051234666, 16:253.12756599865872, 17:218.2717501207237, 18:256.51017951442515, 19:306.2714995457196, 20:36.332513941596176, 21:66.8423847539918, 22:-196.15918851498793, 23:-196.15333415520095, 24:-174.523456975896, 25:-186.47994914716529, 26:55.64209416455534, 27:-139.20567167756812, 28:-25.116589450085378, 29:-76.29564674858955, 30:-115.3929504380064, 31:-291.14091939177, 32:-197.45791324866414, 33:-171.2057685547698, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (104)_color_threshold_idx_1_chunck_9_region_6_labels_1_G.png, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0, 8:0.0, 9:0.0, 10:0.0, 11:0.0, 12:0.0, 13:0.0, 14:0.0, 15:0.0, 16:0.0, 17:0.0, 18:0.0, 19:0.0, 20:0.0, 21:0.0, 22:0.0, 23:0.0, 24:0.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:0.0, 31:0.0, 32:0.0, 33:0.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (105)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0, 8:0.0, 9:0.0, 10:0.0, 11:0.0, 12:0.0, 13:0.0, 14:0.0, 15:0.0, 16:0.0, 17:0.0, 18:0.0, 19:0.0, 20:0.0, 21:0.0, 22:0.0, 23:0.0, 24:0.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:0.0, 31:0.0, 32:0.0, 33:0.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (106)_color_threshold_idx_2_chunck_3_region_16_labels_1_G.png, 1:415.71271135603064, 2:-130.4317542224935, 3:-774.3167500854813, 4:995.9310191873208, 5:-186.03816869475895, 6:-1092.8501471673994, 7:1008.3546112035975, 8:-143.43278651051142, 9:-831.0699979172391, 10:537.4106077405984, 11:-41.85025058385158, 12:-251.77717177490962, 13:-41.1768787267749, 14:51.43701797369269, 15:237.77334390047528, 16:-372.8346822918839, 17:89.81964595244726, 18:395.094156400896, 19:-360.31618694025485, 20:71.73080228786054, 21:262.23728762715047, 22:-153.356751928711, 23:28.173584198296293, 24:44.921596570067486, 25:38.89980423567484, 26:-7.836460200548955, 27:-88.94297364075103, 28:113.62099592000874, 29:-22.267443780284815, 30:-107.41835600594094, 31:95.31159027067976, 32:-19.88749226747507, 33:-69.6323704148546, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (107)_color_threshold_idx_1_chunck_13_region_7_labels_1_G.png, 1:0.954929658551372, 2:0.08185111359011746, 3:1.02541256192064, 4:-1.1961224786870135, 5:-0.18020817240803796, 6:-2.296522249270498, 7:-1.1013998949884904, 8:0.07762866206725219, 9:1.0877100855612667, 10:2.8651053764337937, 11:0.16472996293264386, 12:1.978699002028029, 13:-1.2304419472148385, 14:-0.24712690687401503, 15:-3.2263904866367943, 16:-2.2895527010934345, 17:0.03236866649171935, 18:0.7084983837071717, 19:3.4077241406664434, 20:0.2394629819786576, 21:2.886591804238261, 22:-0.527521559023395, 23:-0.2365043360928366, 24:-3.299330136657467, 25:-3.0637544777783097, 26:-0.04211953931507208, 27:-0.042598766752685466, 28:3.17108764446972, 29:0.26271303991565653, 30:3.285374715737372, 31:0.24200485102208896, 32:-0.17504109500090567, 33:-2.8115453226525053, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0, 8:0.0, 9:0.0, 10:0.0, 11:0.0, 12:0.0, 13:0.0, 14:0.0, 15:0.0, 16:0.0, 17:0.0, 18:0.0, 19:0.0, 20:0.0, 21:0.0, 22:0.0, 23:0.0, 24:0.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:0.0, 31:0.0, 32:0.0, 33:0.0, 
